Date : 2021-12-06 19:36:33
Directory : c:\Users\munbo\0001ft\fso2021-practice-work
Total : 76 files,  43079 codes, 271 comments, 358 blanks, all 43708 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\munbo\0001ft\fso2021-practice-work\build\static\js\runtime-main.8233b8b5.js                   | JavaScript       |          1 |          1 |          0 |          2 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\README.md                                         | Markdown         |         26 |          0 |         21 |         47 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\cypress.json                                      | JSON             |          1 |          0 |          1 |          2 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\cypress\fixtures\example.json                     | JSON             |          5 |          0 |          1 |          6 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\cypress\integration\maintests.spec.js             | JavaScript       |         13 |          0 |          0 |         13 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\cypress\plugins\index.js                          | JavaScript       |          2 |         18 |          3 |         23 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\cypress\support\commands.js                       | JavaScript       |          0 |         25 |          1 |         26 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\cypress\support\index.js                          | JavaScript       |          1 |         17 |          3 |         21 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\package-lock.json                                 | JSON             |     18,892 |          0 |          1 |     18,893 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\package.json                                      | JSON             |         86 |          0 |          1 |         87 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\public\index.html                                 | HTML             |         20 |         23 |          1 |         44 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\public\manifest.json                              | JSON             |         25 |          0 |          1 |         26 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\App.tsx                                       | TypeScript React |        101 |          0 |          4 |        105 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\ActionsPage\ActionsPage.tsx        | TypeScript React |         44 |          0 |          3 |         47 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\ExplorePage\ExplorePage.tsx        | TypeScript React |        162 |          0 |         19 |        181 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\ExplorePage\SpecificExplore.tsx    | TypeScript React |        155 |          0 |          6 |        161 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\LoginRoute\LoginForm.tsx           | TypeScript React |        116 |          0 |          7 |        123 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\LoginRoute\LoginPage.tsx           | TypeScript React |         41 |          0 |          3 |         44 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\LoginRoute\SignUpForm.tsx          | TypeScript React |        168 |          0 |          4 |        172 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\MyProfileRoute\AnalysisChart.tsx   | TypeScript React |        173 |          0 |          8 |        181 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\MyProfileRoute\AnalysisTable.tsx   | TypeScript React |        106 |          0 |          3 |        109 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\MyProfileRoute\MyProfile.tsx       | TypeScript React |        375 |          0 |         15 |        390 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\MyProfileRoute\OldData.tsx         | TypeScript React |        175 |          0 |         10 |        185 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\MyProfileRoute\TransactionList.tsx | TypeScript React |        138 |          0 |          7 |        145 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\MyStocksRoute\BuyStocks.tsx        | TypeScript React |        309 |          2 |         13 |        324 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\MyStocksRoute\MainChart.tsx        | TypeScript React |         94 |          0 |          7 |        101 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\MyStocksRoute\StockPage.tsx        | TypeScript React |         68 |          0 |          4 |         72 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\Other\AppBar.tsx                   | TypeScript React |        106 |          0 |          8 |        114 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\Other\DefaultPage.tsx              | TypeScript React |         29 |          0 |          3 |         32 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\Other\LoadingAnimation.tsx         | TypeScript React |         19 |          0 |          3 |         22 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\Other\Notification.tsx             | TypeScript React |         22 |          0 |          3 |         25 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\Other\SideBar.tsx                  | TypeScript React |         95 |          0 |          4 |         99 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\Other\helpers.ts                   | TypeScript       |         88 |          0 |          9 |         97 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\graphql\queries.ts                            | TypeScript       |        202 |          0 |         19 |        221 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\index.tsx                                     | TypeScript React |         70 |          0 |          9 |         79 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\react-app-env.d.ts                            | TypeScript       |          0 |          1 |          1 |          2 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\reducers\actionNotificationReducer.ts         | TypeScript       |         17 |          0 |          2 |         19 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\reducers\buyingStockReducer.ts                | TypeScript       |         32 |          0 |          4 |         36 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\reducers\firstBuyReducer.ts                   | TypeScript       |         21 |          0 |          4 |         25 |
