"filename", "language", "JSON", "JavaScript", "TypeScript", "TypeScript React", "HTML", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\munbo\0001ft\fso2021-practice-work\backend\tsconfig.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\munbo\0001ft\fso2021-practice-work\build\asset-manifest.json", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\munbo\0001ft\fso2021-practice-work\build\index.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\munbo\0001ft\fso2021-practice-work\build\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\munbo\0001ft\fso2021-practice-work\build\static\js\2.4714cfb4.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 2, 0, 3
"c:\Users\munbo\0001ft\fso2021-practice-work\build\static\js\main.c350b6f4.chunk.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\munbo\0001ft\fso2021-practice-work\build\static\js\runtime-main.8233b8b5.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 26, 0, 0, 21, 47
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\cypress.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\cypress\fixtures\example.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\cypress\integration\maintests.spec.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\cypress\plugins\index.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 18, 3, 23
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\cypress\support\commands.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 25, 1, 26
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\cypress\support\index.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 17, 3, 21
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\package-lock.json", "JSON", 18892, 0, 0, 0, 0, 0, 0, 0, 1, 18893
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\package.json", "JSON", 86, 0, 0, 0, 0, 0, 0, 0, 1, 87
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\public\index.html", "HTML", 0, 0, 0, 0, 20, 0, 0, 23, 1, 44
